标题,日期,链接,内容,来源
山西省文化和旅游厅办公室关于做好2026年山西省稀有剧种公益性演出承接院团申报工作的通知,2025-10-03,http://wlj.taiyuan.gov.cn/tzgg1/20251030/30264912.html,"无障碍通道
加入收藏
设为首页
首  页
政府信息公开
政务服务
文旅信息
互动交流
太原市文化和旅游局
>>政务网
>>信息网
首页 >
信息公开
通知公告 > 山西省文化和旅游厅办公室关于做好2026年山西省稀有剧种公益性演出承接院团申报工作的通知
山西省文化和旅游厅办公室关于做好2026年山西省稀有剧种公益性演出承接院团申报工作的通知
时间：
2025-10-30
来源：
厅艺术处
字号：[
大
中
小
]
山西省文化和旅游厅办公室关于做好2026年山西省稀有剧种公益性演出承接院团申报工作的通知.pdf
打印本页
返回顶部
主办单位：太原市文化和旅游局  承办单位：太原市文化馆（太原市文化旅游事业发展中心）  版权所有
网站地图
地址：太原市漪汾桥西望景路5号四层  邮编：030002
晋ICP备05003854号
访问统计,网站总访问量：
晋公网安备 14010902000005号  网站标识码：1401000010",太原市文化和旅游局
2025年全省文化和旅游市场综合执法能力提升培训班在汾阳召开,2025-10-03,http://wlj.taiyuan.gov.cn/wlzx1/20251030/30264913.html,"无障碍通道
加入收藏
设为首页
首  页
政府信息公开
政务服务
文旅信息
互动交流
太原市文化和旅游局
>>政务网
>>信息网
首页 >
信息公开
文旅资讯 > 2025年全省文化和旅游市场综合执法能力提升培训班在汾阳召开
2025年全省文化和旅游市场综合执法能力提升培训班在汾阳召开
时间：
2025-10-30
来源：
厅文化和旅游市场综合执法监督局
字号：[
大
中
小
]
为主动适应新时代综合行政执法工作新形势、新要求，切实提升执法人员法治素养与业务能力，规范执法行为、提高执法效能，省文旅厅10月20日至10月24日在吕梁市汾阳市贾家庄召开2025年全省文化和旅游市场综合执法能力提升培训班，全省各地市共计73名一线执法骨干参加。
本次培训班围绕执法工作中的“痛点”“难点”展开，聚焦于营业性演出监管要点、版权市场执法、文物市场执法、未成年人保护的行政处罚法律适用、旅游市场监管及投诉处理等执法要点，邀请了全国师资库优秀师资，北京、天津等地执法总队骨干，法学院讲师等对参训人员进行了针对性培训。
参训学员表示，本次培训内容　“接地气、贴实际”，既补足了法律知识短板，又提升了实战操作技能",太原市文化和旅游局
2025年10月美白精华产品：敏感 肌也能安心用的十款,2025-10-02,http://wlj.taiyuan.gov.cn/wlzx1/20251026/30264848.html,"无障碍通道
加入收藏
设为首页
首  页
政府信息公开
政务服务
文旅信息
互动交流
太原市文化和旅游局
>>政务网
>>信息网
首页 >
信息公开
文旅资讯 > 2025年10月美白精华产品：敏感 肌也能安心用的十款
2025年10月美白精华产品：敏感 肌也能安心用的十款
时间：
2025-10-26
来源：
市文旅局
字号：[
大
中
小
]
每年入秋后，紫外线强度虽有所下降，但夏季累积的黑色素仍在肌肤深层活跃，黄气、暗沉、色斑成为社交平台高频提问词。小红书“美白精华”相关笔记在2025年8月环比再涨27%，京东健康数据显示“提亮肤色”关键词搜索量连续三周占据护肤类目首位。国家药监局2025年7月发布的《化妆品美白功效管理公告》明确，只有取得美白特证并完成人体功效验证的产品方可宣称“美白”，政策收紧让消费者在选购时更关注“持证上岗”与“实测数据”。与此同时，敏感肌人群扩大至总体护肤用户的46%，“温和不刺激”与“看得见的光感”成为同一枚硬币的两面。面对货架上从百元到千元的各色小瓶，用户普遍痛点集中在：成分浓度是不是越高越好？多久能见效？会不会反黑？能否在熬夜、奶茶、空调多重夹击下依",太原市文化和旅游局
关于注销山西中旅假日易游旅游有限公司的公告,2025-10-03,http://wlj.taiyuan.gov.cn/tzgg1/20251030/30264777.html,"无障碍通道
加入收藏
设为首页
首  页
政府信息公开
政务服务
文旅信息
互动交流
太原市文化和旅游局
>>政务网
>>信息网
首页 >
信息公开
通知公告 > 关于注销山西中旅假日易游旅游有限公司的公告
关于注销山西中旅假日易游旅游有限公司的公告
时间：
2025-10-30
来源：
太原市文化和旅游局
字号：[
大
中
小
]
〔2025〕第18号
根据《中华人民共和国旅游法》、《旅行社条例》相关规定，太原市文化和旅游局决定注销山西中旅假日易游旅游有限公司《旅行社业务经营许可证》（许可证编号：
L-SX-TY058
）。
特此公告
太原市文化和旅游局
2025年10月30日
打印本页
返回顶部
主办单位：太原市文化和旅游局  承办单位：太原市文化馆（太原市文化旅游事业发展中心）  版权所有
网站地图
地址：太原市漪汾桥西望景路5号四层  邮编：030002
晋ICP备05003854号
访问统计,网站总访问量：
晋公网安备 14010902000005号  网站标识码：1401000010",太原市文化和旅游局
文化和旅游部办公厅关于举办第十五...,2025-10-02,http://wlj.taiyuan.gov.cn/tzgg1/20251029/30264667.html,"无障碍通道
加入收藏
设为首页
首  页
政府信息公开
政务服务
文旅信息
互动交流
太原市文化和旅游局
>>政务网
>>信息网
首页 >
信息公开
通知公告 > 文化和旅游部办公厅关于举办第十五届全国舞蹈展演的通知
文化和旅游部办公厅关于举办第十五届全国舞蹈展演的通知
时间：
2025-10-29
来源：
艺术司
字号：[
大
中
小
]
各省、自治区、直辖市文化和旅游厅（局），新疆生产建设兵团文化体育广电和旅游局，中国歌剧舞剧院、中国东方演艺集团、中央芭蕾舞团、中国煤矿文工团：
为推动优秀舞蹈作品和人才不断涌现，促进舞蹈艺术事业的繁荣发展，文化和旅游部、江苏省人民政府将共同举办第十五届全国舞蹈展演。现将有关事项通知如下：
一、组织机构
（一）主办单位：
文化和旅游部、江苏省人民政府
（二）承办单位：
文化和旅游部艺术司、江苏省文化和旅游厅、无锡市人民政府
（三）协办单位：
无锡市文化广电和旅游局
二、时间地点
（一）时间：
2025年12月
（二）地点：
江苏省无锡市
三、展演安排
（一）展演：
以剧场演出和线上展播相结合的方式，举办优秀舞蹈节目和舞剧、舞蹈诗展演。
（二）研讨：
",太原市文化和旅游局
山西省文化和旅游厅办公室关于公布...,2025-10-02,http://wlj.taiyuan.gov.cn/tzgg1/20251028/30264414.html,"无障碍通道
加入收藏
设为首页
首  页
政府信息公开
政务服务
文旅信息
互动交流
太原市文化和旅游局
>>政务网
>>信息网
首页 >
信息公开
通知公告 > 山西省文化和旅游厅办公室关于公布2025年度山西省优秀剧本扶持计划、舞台艺术优秀节目创作扶持计划及优秀文艺评论文章入选名单的通知
山西省文化和旅游厅办公室关于公布2025年度山西省优秀剧本扶持计划、舞台艺术优秀节目创作扶持计划及优秀文艺评论文章入选名单的通知
时间：
2025-10-28
来源：
厅艺术处
字号：[
大
中
小
]
山西省文化和旅游厅办公室关于公布2025年度山西省优秀剧本扶持计划、舞台艺术优秀节目创作扶持计划及优秀文艺评论文章入选名单的通知.pdf
打印本页
返回顶部
主办单位：太原市文化和旅游局  承办单位：太原市文化馆（太原市文化旅游事业发展中心）  版权所有
网站地图
地址：太原市漪汾桥西望景路5号四层  邮编：030002
晋ICP备05003854号
访问统计,网站总访问量：
晋公网安备 14010902000005号  网站标识码：1401000010",太原市文化和旅游局
文化和旅游部关于许可旅行社经营出...,2025-10-02,http://wlj.taiyuan.gov.cn/tzgg1/20251027/30264214.html,"无障碍通道
加入收藏
设为首页
首  页
政府信息公开
政务服务
文旅信息
互动交流
太原市文化和旅游局
>>政务网
>>信息网
首页 >
信息公开
通知公告 > 文化和旅游部关于许可旅行社经营出境旅游业务的公告（2025年第十批）
文化和旅游部关于许可旅行社经营出境旅游业务的公告（2025年第十批）
时间：
2025-10-27
来源：
市场管理司
字号：[
大
中
小
]
根据《旅行社条例》和《中国公民出国旅游管理办法》等相关规定，许可以下旅行社经营出境旅游业务：
特此公告。
文化和旅游部
2025年10月24日
附件：
打印本页
返回顶部
主办单位：太原市文化和旅游局  承办单位：太原市文化馆（太原市文化旅游事业发展中心）  版权所有
网站地图
地址：太原市漪汾桥西望景路5号四层  邮编：030002
晋ICP备05003854号
访问统计,网站总访问量：
晋公网安备 14010902000005号  网站标识码：1401000010",太原市文化和旅游局
关于第二批全国旅游演艺精品名录拟...,2025-10-02,http://wlj.taiyuan.gov.cn/tzgg1/20251027/30264125.html,"无障碍通道
加入收藏
设为首页
首  页
政府信息公开
政务服务
文旅信息
互动交流
太原市文化和旅游局
>>政务网
>>信息网
首页 >
信息公开
通知公告 > 关于第二批全国旅游演艺精品名录拟入选项目名单的公示
关于第二批全国旅游演艺精品名录拟入选项目名单的公示
时间：
2025-10-27
来源：
产业发展司
字号：[
大
中
小
]
根据《文化和旅游部办公厅关于开展第二批全国旅游演艺精品名录申报工作的通知》，文化和旅游部产业发展司在各省级文化和旅游行政部门、有关中央企业推荐的申报项目基础上，经专家评审等工作程序，确定了30个第二批全国旅游演艺精品名录拟入选项目（名单见附件），现予以公示。
公示期为5个工作日（自公示之日起计算）。公示期内，对公示名单有异议的单位和个人，可通过传真、电子邮件等形式向文化和旅游部产业发展司书面反映。反映情况须实事求是，并提供所反映问题的佐证材料。以单位名义反映的，应加盖单位公章并提供联系人及联系方式；以个人名义反映的，应署真实姓名、工作（学习）单位、通讯地址及联系方式，以便了解核实有关情况。
传真：010-59881424
电子邮箱：cycjc201",太原市文化和旅游局
山西省文化和旅游厅办公室关于推荐...,2025-10-02,http://wlj.taiyuan.gov.cn/tzgg1/20251021/30263016.html,"无障碍通道
加入收藏
设为首页
首  页
政府信息公开
政务服务
文旅信息
互动交流
太原市文化和旅游局
>>政务网
>>信息网
首页 >
信息公开
通知公告 > 山西省文化和旅游厅办公室关于推荐山西省工艺美术专家库专家相关工作的通知
山西省文化和旅游厅办公室关于推荐山西省工艺美术专家库专家相关工作的通知
时间：
2025-10-21
来源：
厅产业发展处
字号：[
大
中
小
]
山西省文化和旅游厅办公室关于推荐山西省工艺美术专家库专家相关工作的通知.pdf
山西省工艺美术专家申报表.wps
山西省工艺美术专家推荐汇总表.wps
政策解读：
https://wlt.shanxi.gov.cn/zwgk/zcjd/202510/t20251021_9979750.shtml
打印本页
返回顶部
主办单位：太原市文化和旅游局  承办单位：太原市文化馆（太原市文化旅游事业发展中心）  版权所有
网站地图
地址：太原市漪汾桥西望景路5号四层  邮编：030002
晋ICP备05003854号
访问统计,网站总访问量：
晋公网安备 14010902000005号  网站标识码：14010000",太原市文化和旅游局
2025年前三季度国内旅游市场数据情况,2025-10-02,http://wlj.taiyuan.gov.cn/tzgg1/20251021/30263106.html,"无障碍通道
加入收藏
设为首页
首  页
政府信息公开
政务服务
文旅信息
互动交流
太原市文化和旅游局
>>政务网
>>信息网
首页 >
信息公开
通知公告 > 2025年前三季度国内旅游市场数据情况
2025年前三季度国内旅游市场数据情况
时间：
2025-10-21
来源：
财务司
字号：[
大
中
小
]
根据国内居民出游抽样调查统计结果，
2025年前三季度，国内居民出游人次49.98亿，比上年同期增加7.61亿，同比增长18.0%。其中，城镇居民国内出游人次37.89亿，同比增长15.9%；农村居民国内出游人次12.09亿，同比增长25.0%。
2025年前三季度，国内居民出游花费4.85万亿元，比上年同期增加0.50万亿元，同比增长11.5%。其中，城镇居民出游花费4.05万亿元，同比增长9.3%；农村居民出游花费0.80万亿元，同比增长24.0%。
附件：
打印本页
返回顶部
主办单位：太原市文化和旅游局  承办单位：太原市文化馆（太原市文化旅游事业发展中心）  版权所有
网站地图
地址：太原市漪汾桥西望景路5号四层  邮编：030002
晋ICP备05003854号
",太原市文化和旅游局
A级旅游景区管理系统,2025-10,http://jq.mct.gov.cn/,内容获取失败,太原市文化和旅游局
山西省旅游数字化统计系统,2025-10,http://183.201.254.62:8003/tourism/logon.do,"山西省旅游数字化统计系统
V2018
帐号登录
证书登录
帐号：
密码：
验证码：
请插入CA证书
PIN码：
验证码：
帮助
推荐使用IE8或以上版本访问
操作手册
在线预览
|
点击下载",太原市文化和旅游局
旅游服务质量保证金存款协议书,2025-10,http://wlj.taiyuan.gov.cn/bsdt/20250820/1213990.html,"无障碍通道
加入收藏
设为首页
首  页
政府信息公开
政务服务
文旅信息
互动交流
太原市文化和旅游局
>>政务网
>>信息网
首页 >
信息公开
办事大厅 > 旅游服务质量保证金存款协议书
旅游服务质量保证金存款协议书
时间：
2025-08-20
来源：
市文化和旅游局
字号：[
大
中
小
]
附件下载：
旅游服务质量保证金存款协议书.doc
打印本页
返回顶部
主办单位：太原市文化和旅游局  承办单位：太原市文化馆（太原市文化旅游事业发展中心）  版权所有
网站地图
地址：太原市漪汾桥西望景路5号四层  邮编：030002
晋ICP备05003854号
访问统计,网站总访问量：
晋公网安备 14010902000005号  网站标识码：1401000010",太原市文化和旅游局
“大同范”是怎样炼成的？——解析山西大同市文旅热的流量密码,2025-10-02,http://www.sx.xinhuanet.com/20251028/aec73b8a275745d8a3fcdf0966f33677/c.html,"新华网
> 正文
2025
10
/
28
17:46:43
来源：新华网
“大同范”是怎样炼成的？——解析山西大同市文旅热的流量密码
字体：
小
中
大
分享到：
“大同范”是怎样炼成的？——解析山西大同市文旅热的流量密码
2025-10-28 17:46:43
来源：新华网
新华网太原10月28日电（王浩庆、蒲思静）提到山西省大同市，你会如何形容？在社交平台上搜索“大同”，既有市井烟火、俗世奇人，又有高端民宿、时髦街区，也有古朴城垣、人文情怀。
文旅江湖风云变幻，大同却“火得持久”。今年国庆中秋假期，大同市省外游客接待量创新高，人均停留时长由过去的0.9天跃至3.3天。“艺术范”“时尚范”成为大同市的热搜词条。
文旅融合的“大同范”究竟如何炼成？大同市如何优化服务、丰富供给、创新业态，文旅出圈的流量密码在哪？大同市的古城、街巷、民宿里，各有答案，却殊途同归。
服务走心：在关键小事中传递城市温度
大同古城墙下，北京游客李先生将烟头仔细装入特制的灭烟袋。“这个小袋子很实用，既环保又方便。”在他看来，一个灭烟袋，折射的是一座城市的用心。
漫步文瀛湖景区，沐浴午后暖阳的游客正在智慧座椅旁给",新华网
“游戏+古建”双IP融合！「黑神话：悟空」遇见山西展即将亮相,2025-10-02,http://www.sx.xinhuanet.com/20251026/8c1256e9270c4801baa02c126a8da05a/c.html,"新华网
> 正文
2025
10
/
26
16:20:22
来源：新华网
探馆Vlog｜“游戏+古建”双IP融合！「黑神话：悟空」遇见山西展即将亮相太原古县城
字体：
小
中
大
分享到：
探馆Vlog｜“游戏+古建”双IP融合！「黑神话：悟空」遇见山西展即将亮相太原古县城
2025-10-26 16:20:22
来源：新华网
近日，由游戏科学官方授权的「黑神话：悟空」遇见山西——古建数字艺术展正式官宣，将于11月1日起在太原古县城与各位“天命人”见面。这是一个什么展？有何亮点？第一波探馆来了，超多内容先睹为快。
长按图片识别二维码可预约观展。
【纠错】
【责任编辑:赵睿】
阅读下一篇：
探馆Vlog｜“游戏+古建”双IP融合！「黑神话：悟空」遇见山西展即将亮相太原古县城",新华网
在「黑神话：悟空」遇见山西展，坠入悬塑“万花筒”,2025-10-02,http://www.sx.xinhuanet.com/20251026/617996e109174db28e18edacb31bc6dc/c.html,"新华网
> 正文
2025
10
/
26
16:19:18
来源：新华网
在「黑神话：悟空」遇见山西展，坠入悬塑“万花筒”
字体：
小
中
大
分享到：
在「黑神话：悟空」遇见山西展，坠入悬塑“万花筒”
2025-10-26 16:19:18
来源：新华网
还记得游戏《黑神话：悟空》中“既见未来，为何不拜”的名场面吗？此场面正是取景于山西临汾隰县小西天。隰县小西天原名“千佛庵”，因悬塑之多、之美名扬海内外。
由游戏科学官方授权的「黑神话：悟空」遇见山西——古建数字艺术展将于11月1日起在太原古县城正式对公众开放。展馆首次将数字幻想世界与真实古建场景深度融合，备受关注。
据介绍，在小西天的展示空间中，策展人员利用光影与四周的镜面共同构成一个悬塑“万花筒”，再现了小西天大雄宝殿的千佛悬塑。
创意从何而来？有何难点？随新华网一起走进幕后，了解更多创作故事。
长按图片识别二维码可预约观展。
【纠错】
【责任编辑:王梦佳】
阅读下一篇：
在「黑神话：悟空」遇见山西展，坠入悬塑“万花筒”",新华网
读懂山西——远不止一面精彩,2025-10-03,http://www.sx.xinhuanet.com/20251030/826174e814bf41b4af0e554ffa665325/c.html,"新华网
> 正文
2025
10
/
30
21:20:03
来源：新华社客户端
读懂山西——远不止一面精彩
字体：
小
中
大
分享到：
读懂山西——远不止一面精彩
2025-10-30 21:20:03
来源：新华社客户端
【纠错】
【责任编辑:王亮】
阅读下一篇：
读懂山西——远不止一面精彩",新华网
在「黑神话：悟空」遇见山西展，遇见会呼吸的泥塑,2025-10-03,http://www.sx.xinhuanet.com/20251030/6f07b5878dcd4b46bad4bc4c61e20cb0/c.html,"新华网
> 正文
2025
10
/
30
18:58:21
来源：新华网
在「黑神话：悟空」遇见山西展，遇见会呼吸的泥塑
字体：
小
中
大
分享到：
在「黑神话：悟空」遇见山西展，遇见会呼吸的泥塑
2025-10-30 18:58:21
来源：新华网
山西晋城玉皇庙是全国重点文物保护单位，也是游戏《黑神话：悟空》的重要取景地之一。这里的众多彩塑与天象有关，堪称中国古代彩塑版的“天文馆”，其中最精彩的属二十八星宿彩塑，至少已有700年的历史。
由游戏科学官方授权的「黑神话：悟空」遇见山西——古建数字艺术展将于11月1日起在太原古县城正式对公众开放。据悉，展馆特别邀请山西省工艺美术协会会员李源潮，沿袭传统泥塑工艺、等比例复原七尊玉皇庙二十八星宿彩塑。随新华网一起走进幕后，遇见会呼吸的泥塑、遇见有生命力的星宿，感受匠心传承。
长按图片识别二维码可预约观展。
【纠错】
【责任编辑:王亮】
阅读下一篇：
在「黑神话：悟空」遇见山西展，遇见会呼吸的泥塑",新华网
倒计时2天！「黑神话：悟空」遇见山西展即将面向公众开放,2025-10-03,http://www.sx.xinhuanet.com/20251030/4dee66e1ea6b49499f707b86751151cc/c.html,"新华网
> 正文
2025
10
/
30
18:57:58
来源：新华网
倒计时2天！「黑神话：悟空」遇见山西展即将面向公众开放
字体：
小
中
大
分享到：
倒计时2天！「黑神话：悟空」遇见山西展即将面向公众开放
2025-10-30 18:57:58
来源：新华网
「黑神话：悟空」遇见山西
——古建数字艺术展
即将在山西太原
正式与各位“天命人”见面
展览以《黑神话：悟空》为引
首次将数字幻想世界与真实古建场景深度融合
跟着“NPC八戒”
一起走进“游戏视角”中山西古建的真实世界
11月1日，不见不散
【纠错】
【责任编辑:王亮】
阅读下一篇：
倒计时2天！「黑神话：悟空」遇见山西展即将面向公众开放",新华网
在「黑神话：悟空」遇见山西展，“闪现”游戏世界,2025-10-03,http://www.sx.xinhuanet.com/20251030/df7ea65a00b94971bddbd033af975992/c.html,"新华网
> 正文
2025
10
/
30
18:36:27
来源：新华网
在「黑神话：悟空」遇见山西展，“闪现”游戏世界
字体：
小
中
大
分享到：
在「黑神话：悟空」遇见山西展，“闪现”游戏世界
2025-10-30 18:36:27
来源：新华网
由游戏科学官方授权的「黑神话：悟空」遇见山西——古建数字艺术展将于11月1日起在太原古县城正式对公众开放。
展览以游戏《黑神话：悟空》为引，首次将数字幻想世界与真实古建场景深度融合，生动还原了多处游戏中的经典场景。据展览置景组介绍，展馆中的地面、山体、苔藓、凉亭、树干等置景设计，均力求还原，让参观者身临其境，仿佛置身游戏世界。
长按图片识别二维码可预约观展。
【纠错】
【责任编辑:王亮】
阅读下一篇：
在「黑神话：悟空」遇见山西展，“闪现”游戏世界",新华网
“数”说2025年山西省文旅发展主题推介活动,2025-10-02,http://www.sx.xinhuanet.com/20251029/f73bc2fbc6054338bceefc5a0e37e776/c.html,"新华网
> 正文
2025
10
/
29
20:44:43
来源：新华网
“数”说2025年山西省文旅发展主题推介活动
字体：
小
中
大
分享到：
“数”说2025年山西省文旅发展主题推介活动
2025-10-29 20:44:43
来源：新华网
山河之上，是生活，是风景，更是触手可及的诗与远方。“数”说山西文旅的蓬勃生机，感受三晋大地的厚重与鲜活。
2天盛会，链接世界：2025年山西省文旅发展主题推介活动历时两天，汇聚全球嘉宾，共谋文旅发展。
9条线路，畅游晋城：晋城发布9条精品旅游线路，明清古堡穿越之旅、太行奇观打卡线、特色小镇游、亲子田园游、红色研学游、民俗非遗体验游、康养休闲游、科技+自驾小众线、四季风光自驾线，总有一种风景能留住你，欢迎来晋城开启你的专属旅程！
531处国保，一眼千年：山西拥有全国重点文物保护单位531处，被誉为“大地上的博物馆”。
186处古村落，留住乡愁：晋城有186处中国传统古村落，让游客感受传统生活。
117座城堡，巍巍太行：晋城是明清古城堡资源富集地，117座古城堡融居住与军事功能于一体，在这里，历史触手可及。
460+种文创，玩转非遗：潞绸、铁",新华网
媒体系统性变革如何赋能城市文旅长效破圈？张志安教授在晋城现场会提出关键路径,2025-10-02,http://www.sx.xinhuanet.com/20251026/1dcdb0d6d7d3486d9aac49860e68862e/c.html,"新华网
> 正文
2025
10
/
26
22:41:59
来源：新华网
媒体系统性变革如何赋能城市文旅长效破圈？张志安教授在晋城现场会提出关键路径
字体：
小
中
大
分享到：
媒体系统性变革如何赋能城市文旅长效破圈？张志安教授在晋城现场会提出关键路径
2025-10-26 22:41:59
来源：新华网
在2025媒体融合发展年会晋城现场会上，复旦大学新闻学院教授、复旦大学全球传播全媒体研究院副院长张志安以《媒体系统性变革如何赋能城市文旅长效破圈》为题发表主旨演讲。
围绕媒体如何赋能城市文旅发展，张志安提出“场景刷屏+情感连接+持续价值”的破圈公式：一是“挖掘培育+资源连接”。媒体需要深度理解并整合城市文化资源，提炼具有识别度的城市符号；二是“智库参谋+创意设计”。媒体应充分发挥智库功能，参与城市超级符号的创意设计与传播策略制定，为文旅品牌注入专业智慧；三是“文化混搭+场景开发”。将传统文化与青年文化、数字文化进行创造性融合，通过可体验的新场景，完成与公众的情感连接与传播实践；四是“流量获取+多重变现”。媒体可通过设立内容工作室、策划热点传播、推动IP产业化等方式，实现从内容破圈",新华网
山西省政府党组召开会议,2025-10-01,http://www.sx.xinhuanet.com/20251013/11c27d42905b4319abea05e572364b8b/c.html,"新华网
> 正文
2025
10
/
13
15:03:35
来源：山西日报
山西省政府党组召开会议
字体：
小
中
大
分享到：
山西省政府党组召开会议
2025-10-13 15:03:35
来源：山西日报
原标题：省政府党组召开会议
坚决拥护党中央对金湘军的处分决定
卢东亮主持
10月11日，省政府党组召开会议，通报中央纪委国家监委关于给予金湘军开除党籍、开除公职处分的决定。省长、省政府党组书记卢东亮主持会议。
会议指出，党中央决定给予金湘军开除党籍、开除公职处分，充分体现了以习近平同志为核心的党中央一以贯之推进全面从严治党的坚定决心和坚强意志。省政府党组坚决拥护党中央决定，坚决拥护中央纪委国家监委决定，切实把思想和行动统一到党中央决定精神上来，坚持不懈用习近平新时代中国特色社会主义思想凝心铸魂，坚定扛牢习近平总书记赋予山西的重大使命任务，进一步加强党性修养，严守政治纪律和政治规矩，严格执行中央八项规定及其实施细则精神，认真履行“一岗双责”，深入推进政府系统党风廉政建设和反腐败斗争，全力以赴完成全年目标任务，以实际行动坚定拥护“两个确立”、坚决做到“两个维护”。（记者杨文俊）
【",新华网
山西省委常委会召开会议,2025-10-01,http://www.sx.xinhuanet.com/20251013/cbb6a348cd394b839321c0c07a874769/c.html,"新华网
> 正文
2025
10
/
13
08:59:23
来源：山西日报
山西省委常委会召开会议
字体：
小
中
大
分享到：
山西省委常委会召开会议
2025-10-13 08:59:23
来源：山西日报
原标题：省委常委会召开会议
坚决拥护党中央对金湘军的处分决定
省委书记唐登杰主持会议
10月11日，省委常委会召开会议，通报中央纪委国家监委关于给予金湘军开除党籍 、开除公职处分的决定。与会同志一致表示，坚决拥护党中央决定，坚决拥护中央纪委国家监委决定。省委书记唐登杰主持会议。
会议指出，党中央决定给予金湘军开除党籍、开除公职处分，充分彰显了以习近平同志为核心的党中央一以贯之推进全面从严治党、将反腐败斗争进行到底的坚定决心，充分体现了我们党有腐必反、有贪必肃的鲜明态度，再次释放了反腐败斗争无禁区、全覆盖、零容忍的强烈信号。省委坚决拥护。全省广大党员干部特别是领导干部要切实把思想和行动统一到党中央决定精神上来，不折不扣贯彻落实党中央重大决策部署，以实际行动坚定拥护“两个确立”、坚决做到“两个维护”。要坚持以案为鉴、警钟长鸣，不断增强政治定力、纪律定力、道德定力、抵腐定力，筑牢拒腐",新华网
山西省机关事务管理局原二级巡视员祁晓虎接受纪律审查和监察调查,2025-10-02,http://www.sx.xinhuanet.com/20251020/86b1a64e0c0e4b66a57e77c809a527e9/c.html,"新华网
> 正文
2025
10
/
20
14:33:31
来源：新华网
山西省机关事务管理局原二级巡视员祁晓虎接受纪律审查和监察调查
字体：
小
中
大
分享到：
山西省机关事务管理局原二级巡视员祁晓虎接受纪律审查和监察调查
2025-10-20 14:33:31
来源：新华网
新华社太原10月19日电 山西省纪委监委19日发布消息，山西省机关事务管理局原二级巡视员祁晓虎涉嫌严重违纪违法，目前正接受山西省纪委监委纪律审查和监察调查。（完）
【纠错】
【责任编辑:王梦佳】
阅读下一篇：
山西省机关事务管理局原二级巡视员祁晓虎接受纪律审查和监察调查",新华网
山西省太忻经济一体化发展促进中心原副主任杨俊民被开除党籍和公职,2025-10-01,http://www.sx.xinhuanet.com/20251019/13ba23558c0c4360b5e6ae6128524d23/c.html,"新华网
> 正文
2025
10
/
19
09:33:52
来源：山西省纪委监委网站
山西省太忻经济一体化发展促进中心原副主任杨俊民被开除党籍和公职
字体：
小
中
大
分享到：
山西省太忻经济一体化发展促进中心原副主任杨俊民被开除党籍和公职
2025-10-19 09:33:52
来源：山西省纪委监委网站
原标题：山西省太忻经济一体化发展促进中心原副主任杨俊民被开除党籍和公职
日前，经省委批准，省纪委监委对山西省太忻经济一体化发展促进中心原副主任杨俊民严重违纪违法问题进行了立案审查调查。
经查，杨俊民丧失党性原则，背弃初心使命，对抗组织审查；无视中央八项规定精神，收受礼品、礼金、消费卡；违背组织原则，不按规定报告个人有关事项，在职务调整中为他人谋取利益并收受财物；利用职务便利，为他人在工程承揽等方面谋利，并非法收受巨额财物。
杨俊民严重违反党的政治纪律、组织纪律和廉洁纪律，构成严重职务违法并涉嫌受贿犯罪，且在党的十八大后不收敛、不收手，性质严重，影响恶劣，应予严肃处理。依据《中国共产党纪律处分条例》《中华人民共和国监察法》《中华人民共和国公职人员政务处分法》等有关规定，经省纪委常委",新华网
中共山西省委组织部公示,2025-10-01,http://www.sx.xinhuanet.com/20251016/fa425e8f5d844f9b85db050da81d2421/c.html,"新华网
> 正文
2025
10
/
16
19:29:36
来源：山西组工
中共山西省委组织部公示
字体：
小
中
大
分享到：
中共山西省委组织部公示
2025-10-16 19:29:36
来源：山西组工
现对省委研究拟任职干部予以公示。
宋海兵，男，汉族，1972年9月生，大学，中共党员，现任省委社会工作部副部长，拟任省直单位正职。
李颖耀，男，汉族，1972年10月生，大学，中共党员，现任山西银行党委副书记、副董事长、行长，拟进一步使用。
王小明，男，汉族，1972年11月生，中央党校研究生，中共党员，现任岚县县委副书记、县长、一级调研员，拟任县（市、区）委书记。
王拥国，男，汉族，1974年8月生，省委党校研究生，中共党员，现任盂县县委副书记、县长、一级调研员，拟任县（市、区）委书记。
尹明星，男，汉族，1974年6月生，大学，中共党员，现任侯马市委副书记、市长、一级调研员，拟任县（市、区）委书记。
余　敏，男，汉族，1976年10月生，中央党校研究生，中共党员，现任芮城县委副书记、县长、一级调研员，拟任县（市、区）委书记。
公示时间：从2025年10月17日至2025年1",新华网
